position,count,rating_mean,rating_median,rating_p25,rating_p75,rating_p90,rating_std,pass_accuracy_pct_mean,pass_accuracy_pct_median,pass_accuracy_pct_p25,pass_accuracy_pct_p75,pass_accuracy_pct_p90,pass_accuracy_pct_std,tackle_success_pct_mean,tackle_success_pct_median,tackle_success_pct_p25,tackle_success_pct_p75,tackle_success_pct_p90,tackle_success_pct_std,aerial_success_pct_mean,aerial_success_pct_median,aerial_success_pct_p25,aerial_success_pct_p75,aerial_success_pct_p90,aerial_success_pct_std,duel_success_pct_mean,duel_success_pct_median,duel_success_pct_p25,duel_success_pct_p75,duel_success_pct_p90,duel_success_pct_std,xa_per_90_mean,xa_per_90_median,xa_per_90_p25,xa_per_90_p75,xa_per_90_p90,xa_per_90_std,key_passes_per_90_mean,key_passes_per_90_median,key_passes_per_90_p25,key_passes_per_90_p75,key_passes_per_90_p90,key_passes_per_90_std,fouls_per_90_mean,fouls_per_90_median,fouls_per_90_p25,fouls_per_90_p75,fouls_per_90_p90,fouls_per_90_std,km_per_90_mean,km_per_90_median,km_per_90_p25,km_per_90_p75,km_per_90_p90,km_per_90_std,sprints_per_90_mean,sprints_per_90_median,sprints_per_90_p25,sprints_per_90_p75,sprints_per_90_p90,sprints_per_90_std,progression_per_carry_mean,progression_per_carry_median,progression_per_carry_p25,progression_per_carry_p75,progression_per_carry_p90,progression_per_carry_std,shot_accuracy_pct_mean,shot_accuracy_pct_median,shot_accuracy_pct_p25,shot_accuracy_pct_p75,shot_accuracy_pct_p90,shot_accuracy_pct_std,xg_efficiency_mean,xg_efficiency_median,xg_efficiency_p25,xg_efficiency_p75,xg_efficiency_p90,xg_efficiency_std,defensive_actions_per_90_mean,defensive_actions_per_90_median,defensive_actions_per_90_p25,defensive_actions_per_90_p75,defensive_actions_per_90_p90,defensive_actions_per_90_std
G,579,6.898984771573604,6.8,6.3,7.4,8.0,0.9235020882000046,68.74379523678178,69.23076923076923,59.375,79.3103448275862,90.23529411764706,16.555035501091943,100.0,100.0,100.0,100.0,100.0,0.0,75.0,75.0,75.0,75.0,75.0,,56.25,50.0,50.0,56.25,67.5,12.5,0.005245593399894124,0.00074187,0.00026318,0.00176564,0.0049684740000000005,0.030748154698400188,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.5600000000000005,3.5600000000000005,3.5600000000000005,3.5600000000000005,3.5600000000000005,,0.0,0.0,0.0,0.0,0.0,,2.7826970931184505,2.808494982252857,1.8052250235624443,4.082239801491167,5.040924219878971,1.9302512953440751,,,,,,,,,,,,,,,,,,
D,1562,6.775379609544469,6.8,6.4,7.1,7.5,0.6215555397266486,84.87832482912445,87.5,79.78260869565217,93.10344827586206,96.5668813944676,11.973391306936527,79.29591108391965,100.0,50.0,100.0,100.0,24.760357252590367,53.71094665880762,50.0,42.857142857142854,66.66666666666666,75.0,16.26447312173203,54.86067071163432,55.55555555555556,45.45454545454545,66.66666666666666,75.0,16.565192251763314,0.07233380180469468,0.013857699999999999,0.0050751825,0.046444359782608705,0.1779242357142857,0.2391137199705316,1.9240199008754746,1.065126050420168,1.0,2.0,3.825000000000003,1.7144424199695465,2.4021962549585116,1.4642857142857142,1.0,2.1304039688164425,3.6340540540540536,5.906419253253848,10.370443459730515,9.46,8.94,10.11,11.180571428571431,5.4575913668502345,10.355373365147551,8.289473684210526,5.779220779220779,12.0,16.455825864276576,13.933110256209783,3.5774234054265484,3.37361010433575,1.984503046678615,5.0026072194660625,6.52261979723289,2.6127572406945134,82.73809523809524,100.0,50.0,100.0,100.0,25.737962744385694,6.393138235768371,3.767897513187641,2.358490566037736,7.704160246533128,13.856965179595583,6.593973511699644,7.958319038935803,7.0,6.0,9.227010424422932,11.955882352941178,3.698067797677572
M,1600,6.855884995507637,6.7,6.5,7.1,7.6,0.5855606313176486,83.5494785320349,85.71428571428571,77.77777777777779,92.0,96.64145658263305,12.143981297661153,78.31986041169715,100.0,50.0,100.0,100.0,25.786254100802733,49.305471837117416,50.0,40.0,50.0,66.66666666666666,14.000314319807414,48.962390098348266,50.0,37.5,61.53846153846154,71.42857142857143,16.644535812104372,0.1353886661034294,0.04170053571428572,0.013818300000000002,0.12436200000000001,0.3473116513761468,0.300268817998721,3.0065835779518273,2.0,1.0588235294117647,3.0,4.7368421052631575,8.925244066763678,2.502144210480007,2.0,1.0682773109243697,3.0,4.7207850133809055,2.2537935144818686,12.472379225802994,10.62857142857143,9.91,11.438103448275864,12.931830238726791,26.047254521893407,12.474034457251696,9.0,5.921052631578947,13.923076923076923,18.94736842105263,40.47473662131392,3.4268398581205175,3.310193138800391,1.461791951319238,5.07331507008925,7.346375315307815,3.306524851327017,67.45303199404762,50.0,50.0,100.0,100.0,28.080214803388866,7.557916286583266,4.67801453510316,2.308597359197185,10.206258586996407,17.32498624763818,7.755122729031874,9.571623420227114,9.0,6.75,11.356803797468356,14.0,4.341655715618295
F,1173,6.772153635116598,6.6,6.4,6.9,7.6,0.6545746865865438,77.22100118370008,80.0,66.66666666666666,89.76975405546835,100.0,17.544167481147156,88.41551849166062,100.0,100.0,100.0,100.0,21.881143834988084,46.472151772099934,50.0,33.33333333333333,57.14285714285714,66.66666666666666,15.360159178882855,44.3489103994699,43.75,33.33333333333333,55.55555555555556,66.66666666666666,16.773062452655587,0.14581236706660328,0.029819426966292136,0.008299719402985075,0.122408,0.353763375,0.4076071025851168,3.649014004104928,2.2642405063291138,1.3585481682496607,4.2478991596638656,6.923076923076923,5.7149899834378965,3.671549468846249,2.3684210526315788,1.4285714285714284,4.090909090909091,6.923076923076923,5.540899887752707,12.154617998176791,10.379999999999999,9.51,11.566666666666668,14.43857142857143,8.95311617261713,16.573439776203845,12.857142857142856,8.0,18.94736842105263,27.692307692307693,23.215654882178004,3.7395599368974284,3.4854101602245215,1.3227544245130414,6.070780507889934,9.03821471026936,4.813718046707696,70.43699784440524,66.66666666666666,50.0,100.0,100.0,27.740206099018447,4.9398618870109186,2.1636692685000276,1.4052053199393852,4.761084188488058,10.027081243731192,7.942119539229133,8.537203915694038,6.650891882053148,4.597936687394007,10.210843373493976,13.493066255778118,6.696614080025255
