player_id,player_name,player_short_name,position,shirt_number,matches_played,total_minutes,substitute_appearances,starts,minutes_per_match,goals_per_90,expectedGoals_per_90,expectedAssists_per_90,totalShots_per_90,onTargetScoringAttempt_per_90,keyPass_per_90,bigChanceCreated_per_90,totalTackle_per_90,interceptionWon_per_90,ballRecovery_per_90,totalClearance_per_90,fouls_per_90,wasFouled_per_90,duelWon_per_90,aerialWon_per_90,saves_per_90,goalsPrevented_per_90,keeperSaveValue_per_90,weighted_rating
839981,Lucas Paquetá,L. Paquetá,M,20,4,236.0,0,4,59.0,0.0,0.13953813559322034,0.3429987711864407,1.906779661016949,0.3813559322033898,3.4322033898305087,1.1440677966101696,3.0508474576271185,1.906779661016949,8.008474576271187,1.5254237288135593,1.1440677966101696,2.288135593220339,8.008474576271187,1.5254237288135593,0.0,0.0,0.0,7.100423728813561
840027,Roberto Fernández,R. Fernández,G,1,5,0.0,5,0,0.0,,,,,,,,,,,,,,,,,,,
840227,Tony Ralston,T. Ralston,D,24,3,16.0,3,0,5.333333333333333,0.0,0.32906250000000004,2.8150248374999998,5.625,5.625,5.625,5.625,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.800000000000001
840519,Carlos Acevedo,C. Acevedo,G,12,5,0.0,5,0,0.0,,,,,,,,,,,,,,,,,,,
841006,Cristian Martínez,C. Martínez,M,6,3,243.0,0,3,81.0,0.0,0.03325925925925926,0.062172592592592585,0.3703703703703704,0.0,1.1111111111111112,0.0,2.5925925925925926,0.3703703703703704,3.333333333333333,0.7407407407407408,1.8518518518518519,1.8518518518518519,5.9259259259259265,1.4814814814814816,0.0,0.0,0.0,6.625925925925926
841793,César Blackman,C. Blackman,D,2,3,178.0,1,2,59.333333333333336,0.0,0.0185561797752809,0.021408370786516855,1.0112359550561798,0.5056179775280899,0.0,0.0,1.5168539325842696,0.5056179775280899,4.044943820224719,1.0112359550561798,1.0112359550561798,1.0112359550561798,5.561797752808989,2.0224719101123596,0.0,0.0,0.0,6.600000000000001
841802,Andrés Andrade,A. Andrade,D,16,3,270.0,0,3,90.0,0.0,0.0,0.12444131666666666,0.0,0.0,0.0,0.0,2.3333333333333335,1.0,3.666666666666667,6.0,1.3333333333333335,0.0,6.333333333333334,3.666666666666667,0.0,0.0,0.0,7.0
842253,José Luis Rodríguez,J. L. Rodríguez,M,7,3,235.0,0,3,78.33333333333333,0.0,0.05131914893617021,0.014650368510638298,1.1489361702127658,0.3829787234042553,0.3829787234042553,0.0,1.5319148936170213,0.0,5.361702127659575,0.3829787234042553,1.5319148936170213,0.7659574468085106,3.4468085106382977,0.7659574468085106,0.0,0.0,0.0,6.091914893617021
843114,Julián Quiñones,J. Quiñones,F,16,5,414.0,0,5,82.8,0.8695652173913043,0.3496521739130435,0.08614445652173913,3.043478260869565,1.3043478260869565,2.1739130434782608,0.21739130434782608,0.8695652173913043,0.0,4.130434782608696,0.6521739130434783,1.0869565217391304,1.5217391304347825,4.565217391304348,0.8695652173913043,0.0,0.0,0.0,7.697342995169083
843115,Diogo Costa,D. Costa,G,1,5,450.0,0,5,90.0,0.0,0.0,0.000489912,0.0,0.0,0.0,0.0,0.0,0.0,6.8,1.8,0.0,0.2,0.8,0.6000000000000001,3.8000000000000003,0.32827999999999996,0.47208,7.46
843200,Diogo Dalot,D. Dalot,D,5,5,64.0,5,0,12.8,0.0,0.045843749999999996,0.140784721875,1.40625,0.0,1.40625,0.0,2.8125,0.0,5.625,1.40625,0.0,1.40625,5.625,0.0,0.0,0.0,0.0,7.0328125
843665,Alphonso Davies,A. Davies,D,19,5,15.0,5,0,3.0,0.0,0.0,0.33502980000000004,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.5
843746,Stjepan Radeljić,S. Radeljić,D,21,4,180.0,2,2,45.0,0.0,0.0088,0.14993895,0.5,0.0,0.5,0.0,1.5,0.0,2.5,3.5,0.5,1.5,3.0,0.0,0.0,0.0,0.0,6.7
843754,Ibrahim Sangaré,I. Sangaré,M,18,4,268.0,1,3,67.0,0.0,0.006414179104477612,0.04291944850746269,0.33582089552238803,0.0,0.6716417910447761,0.33582089552238803,4.365671641791045,2.014925373134328,2.6865671641791042,2.014925373134328,0.6716417910447761,1.3432835820895521,7.388059701492537,1.6791044776119401,0.0,0.0,0.0,7.572388059701493
844096,Jhon Arias,J. Arias,M,11,5,381.0,0,5,76.2,0.23622047244094488,0.21985039370078738,0.14050504724409452,2.1259842519685037,0.9448818897637795,1.889763779527559,0.23622047244094488,3.543307086614173,0.47244094488188976,4.960629921259843,0.47244094488188976,1.1811023622047243,0.47244094488188976,5.669291338582677,0.23622047244094488,0.0,0.0,0.0,7.235695538057743
844447,Dženis Burnić,D. Burnić,M,17,4,21.0,4,0,5.25,0.0,0.04285714285714286,0.0430641,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661904761904762
844942,Gideon Mensah,G. Mensah,D,14,4,360.0,0,4,90.0,0.0,0.0,0.0112224875,0.0,0.0,0.5,0.0,1.75,2.0,4.25,5.0,0.5,0.75,4.25,1.0,0.0,0.0,0.0,6.975
845074,Edouard Mendy,E. Mendy,G,16,2,153.0,0,2,76.5,0.0,0.0,0.0009992529411764705,0.0,0.0,0.0,0.0,0.0,0.0,10.588235294117647,0.0,0.0,0.0,0.0,0.0,4.705882352941177,-1.1701764705882354,0.8520588235294119,6.511764705882353
845183,Yehvann Diouf,Y. Diouf,G,1,4,0.0,4,0,0.0,,,,,,,,,,,,,,,,,,,
845271,Dylan Bronn,D. Bronn,D,6,3,45.0,2,1,15.0,0.0,0.0,0.00297582,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
845273,Jean-Ricner Bellegarde,J. Bellegarde,M,10,3,261.0,0,3,87.0,0.0,0.09579310344827587,0.09519706896551726,2.0689655172413794,0.0,1.0344827586206897,0.0,0.689655172413793,1.0344827586206897,5.172413793103448,0.3448275862068965,1.379310344827586,1.7241379310344827,3.793103448275862,0.689655172413793,0.0,0.0,0.0,6.76551724137931
845286,Ismaïla Sarr,I. Sarr,F,18,4,366.0,0,4,91.5,0.9836065573770492,0.9083360655737704,0.06795540983606557,4.180327868852459,1.4754098360655739,1.2295081967213115,0.0,0.2459016393442623,0.4918032786885246,1.9672131147540983,0.9836065573770492,0.2459016393442623,2.2131147540983607,4.672131147540984,1.7213114754098362,0.0,0.0,0.0,7.657377049180328
845426,Alfie Jones,A. Jones,D,3,3,0.0,3,0,0.0,,,,,,,,,,,,,,,,,,,
845798,Guus Til,G. Til,M,16,4,31.0,4,0,7.75,0.0,0.0,0.005754861290322582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6
845802,Jovane Cabral,J. Cabral,M,7,4,141.0,2,2,35.25,0.0,0.01959574468085106,0.008308512765957447,1.2765957446808511,0.0,0.0,0.0,2.5531914893617023,0.6382978723404256,5.744680851063829,0.6382978723404256,0.6382978723404256,1.2765957446808511,6.382978723404256,0.6382978723404256,0.0,0.0,0.0,6.643262411347518
845930,Jean-Kévin Duverne,J. Duverne,D,22,3,170.0,1,2,56.666666666666664,0.0,0.009476470588235293,0.3150990847058824,0.5294117647058824,0.0,1.0588235294117647,0.5294117647058824,3.176470588235294,2.6470588235294117,2.1176470588235294,2.1176470588235294,1.0588235294117647,0.5294117647058824,4.235294117647059,0.0,0.0,0.0,0.0,6.2823529411764705
846061,Brandon Thomas-Asante,B. Thomas-Asante,F,10,4,51.0,4,0,12.75,0.0,0.0,0.002021841176470588,0.0,0.0,1.7647058823529411,1.7647058823529411,0.0,0.0,3.5294117647058822,0.0,0.0,1.7647058823529411,5.294117647058823,1.7647058823529411,0.0,0.0,0.0,6.6
