match_id,team,is_home,ballPossession,kilometersCovered,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,numberOfSprints,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,redCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,accurateThroughBall,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,errorsLeadToGoal,goalsPrevented,diveSaves,highClaims,punches,goalKicks,bigChanceMissed,penaltySaves
15186850,Brazil,True,51,98.56,1.26,1.0,12,2,92,6,16,514,23,14,2.0,,5,0,4,3,9,3,0.0,0.0,22,0.0,0.0,449,17,54,69,18,4,46,4,41,12,5,13,5,46,23,3.0,,-0.2586,1.0,,1.0,4,1.0,
15186850,Morocco,False,49,104.14,1.37,2.0,14,4,111,2,14,486,26,16,0.0,,3,0,5,6,7,7,1.0,1.0,13,6.0,1.0,419,13,66,123,17,2,54,10,58,4,16,18,5,52,17,0.0,,0.376,1.0,,2.0,4,1.0,
15186853,Haiti,True,54,106.67,1.05,1.0,15,1,89,4,23,431,12,21,1.0,,2,0,9,4,8,7,,,22,6.0,3.0,368,14,65,83,27,5,47,4,38,14,6,7,6,42,20,0.0,,0.1834,,0.0,,7,1.0,
15186853,Scotland,False,46,108.18,1.05,2.0,9,2,117,3,21,374,12,23,3.0,,2,1,5,2,8,1,,,21,2.0,1.0,307,23,56,48,30,5,53,4,38,21,5,5,6,27,17,3.0,,0.223,,1.0,,13,2.0,
15186874,Australia,True,28,102.39,1.18,1.0,9,8,88,5,12,271,15,4,0.0,,4,0,4,1,6,3,1.0,1.0,18,0.0,1.0,201,14,43,43,16,4,48,9,27,15,8,5,7,35,55,,,1.4558,3.0,1.0,1.0,17,0.0,
15186874,Türkiye,False,72,99.94,1.36,2.0,30,2,85,8,4,704,12,12,1.0,,8,1,10,12,14,16,0.0,1.0,51,2.0,3.0,635,24,85,285,19,2,52,6,29,17,5,8,4,36,29,,,-0.9215,0.0,1.0,0.0,6,2.0,
15186899,Germany,True,65,100.56,4.22,6.0,26,1,110,8,18,637,19,10,,,12,1,6,8,21,5,4.0,6.0,63,5.0,0.0,554,17,79,182,12,5,48,7,38,9,9,13,12,52,8,1.0,0.0,-0.4989,0.0,0.0,0.0,7,2.0,
15186899,Curaçao,False,35,92.43,0.41,0.0,8,4,102,1,11,343,16,18,,,2,0,6,0,4,4,0.0,0.0,10,2.0,1.0,282,9,37,46,17,2,52,10,45,5,12,8,16,48,25,2.0,1.0,-1.7627,1.0,1.0,2.0,11,0.0,
15186945,Netherlands,True,60,93.95,0.78,,10,1,61,5,7,524,11,7,3.0,,6,0,3,1,10,0,,0.0,33,2.0,1.0,463,21,79,133,16,8,62,4,25,21,8,5,7,26,23,,,-0.6757,0.0,,,9,,
15186945,Japan,False,40,98.57,0.59,,10,4,83,4,7,341,11,7,0.0,,3,0,6,1,6,4,,1.0,19,2.0,0.0,286,19,49,80,13,6,38,5,21,7,3,10,4,26,32,,,0.1613,2.0,,,7,,
15186904,Côte d'Ivoire,True,48,98.77,1.52,2.0,15,1,103,3,10,470,14,13,3.0,,4,1,8,3,8,7,,0.0,39,1.0,,397,14,34,91,18,2,57,14,41,17,14,9,11,54,29,1.0,,0.032,,1.0,1.0,10,2.0,
